experiment_type,plot_type,dataset,horizon,seed,rmse_per,rmse_last,delta_rmse,delta_rmse_pct,delta_cka_global,delta_grad_align_all,top_pick_score
W1,forest_plot,ETTm1,96,42,2.812747011993614,2.9210112411873013,0.10826422919368728,3.7063954998571385,-0.0034495306926660696,-0.0033296123414846,-2.7283589488661177
W1,forest_plot,ETTm1,96,2,2.807326241718516,2.942553940945439,0.13522769922692301,4.59558947570132,0.0048055408702715185,0.0079250618966727,1.7709275253825538
W1,forest_plot,ETTm1,96,3,2.8111723415288603,2.9232409543179902,0.11206861278912994,3.8337110946530313,-0.009676485344829566,0.0019170315913362998,-2.8489770243364685
W1,forest_plot,ETTm1,96,5,2.806413209922566,2.9481464381810265,0.14173322825846046,4.807536912783352,-0.0023311001617177807,-0.011042241009306201,-1.485617286254863
W1,forest_plot,ETTm1,96,7,2.8223539873169914,2.962324718327889,0.13997073101089752,4.72502997881695,0.007677043342728451,-0.0019140366615467,1.215181518251275
W1,forest_plot,ETTm1,96,11,2.8167395956616343,2.9546703352245505,0.13793073956291613,4.668227717947207,0.0023283085703376116,-0.0047345692691336,-0.1496509265462619
W1,forest_plot,ETTm1,96,13,2.8118365882883487,2.936443544702187,0.12460695641383834,4.24346508001658,0.0097979465960788,0.008306958000433101,1.9959594122011155
W1,forest_plot,ETTm1,96,17,2.825054039902448,2.935081785190047,0.11002774528759884,3.748711393419469,-0.0027309413020095707,-0.011517886753440601,-3.5919537801464205
W1,forest_plot,ETTm1,96,19,2.8119246848101094,2.975609494132633,0.1636848093225236,5.500883420532184,0.0075214168467003795,0.0018788612571986,3.1306921875731235
W1,forest_plot,ETTm1,96,23,2.824543407979777,2.960732163528615,0.13618875554883791,4.599833690681683,0.006508694964667439,0.0127697358412504,2.691797322742068
W1,forest_plot,ETTm1,192,42,3.0690213271885685,3.1693038667050715,0.10028253951650301,3.164181906633034,0.055285755987712126,0.0012738819524463,1.3954713045644582
W1,forest_plot,ETTm1,192,2,3.069257326785244,3.15981612479348,0.09055879800823607,2.865951512104358,0.06330273968103017,-0.0032702497444123003,0.08730841744519724
W1,forest_plot,ETTm1,192,3,3.075811300792208,3.1854865502891005,0.10967524949689267,3.442966961732707,-0.004980467634814745,-0.0040555990742461995,-2.053333814606139
